,town,year,tenant_rental_assistance,total_assisted_units
580,Madison,2013,1,130.0
581,Manchester,2013,1074,3868.0
582,Mansfield,2013,153,680.0
583,Marlborough,2013,0,53.0
584,Meriden,2013,1012,3833.0
585,Middlebury,2013,4,108.0
586,Middlefield,2013,1,44.0
587,Middletown,2013,1467,4965.0
588,Milford,2013,277,1426.0
589,Monroe,2013,1,59.0
590,Montville,2013,30,373.0
591,Morris,2013,2,23.0
592,Naugatuck,2013,293,1097.0
593,New Britain,2013,1627,6467.0
594,New Canaan,2013,10,205.0
595,New Fairfield,2013,0,49.0
596,New Hartford,2013,1,70.0
597,New Haven,2013,6232,16286.0
598,Newington,2013,105,956.0
599,New London,2013,144,2381.0
600,New Milford,2013,259,680.0
601,Newtown,2013,2,186.0
602,Norfolk,2013,0,31.0
603,North Branford,2013,7,131.0
604,North Canaan,2013,0,109.0
605,North Haven,2013,28,448.0
606,North Stonington,2013,1,29.0
607,Norwalk,2013,957,4116.0
608,Norwich,2013,728,3250.0
609,Old Lyme,2013,1,75.0
610,Old Saybrook,2013,5,92.0
611,Orange,2013,4,66.0
612,Oxford,2013,1,51.0
613,Plainfield,2013,224,988.0
614,Plainville,2013,25,600.0
615,Plymouth,2013,5,363.0
616,Pomfret,2013,2,62.0
617,Portland,2013,92,339.0
618,Preston,2013,4,91.0
619,Prospect,2013,4,38.0
620,Putnam,2013,79,662.0
621,Redding,2013,0,0.0
622,Ridgefield,2013,0,230.0
623,Rocky Hill,2013,29,444.0
624,Roxbury,2013,0,21.0
625,Salem,2013,0,35.0
626,Salisbury,2013,1,34.0
627,Scotland,2013,0,16.0
628,Seymour,2013,16,381.0
629,Sharon,2013,0,24.0
630,Shelton,2013,21,444.0
631,Sherman,2013,1,4.0
632,Simsbury,2013,11,314.0
633,Somers,2013,7,182.0
634,Southbury,2013,2,114.0
635,Southington,2013,42,997.0
636,South Windsor,2013,54,720.0
637,Sprague,2013,9,64.0
638,Stafford,2013,11,387.0
639,Stamford,2013,1631,8115.0
640,Sterling,2013,1,62.0
641,Stonington,2013,17,379.0
642,Stratford,2013,375,1210.0
